1671607437	2022-12-21 08:23:57	on
1671609172	2022-12-21 08:52:52	off
1671609191	2022-12-21 08:53:11	on
1671609403	2022-12-21 08:56:43	off
1671609449	2022-12-21 08:57:29	on
1671611281	2022-12-21 09:28:01	off
1671613533	2022-12-21 10:05:33	on
1671613853	2022-12-21 10:10:53	off
1671620309	2022-12-21 11:58:29	on
1671621069	2022-12-21 12:11:09	off
1671621070	2022-12-21 12:11:10	on
1671622813	2022-12-21 12:40:13	off
1671622867	2022-12-21 12:41:07	on
1671623146	2022-12-21 12:45:46	off
1671623146	2022-12-21 12:45:46	on
1671623594	2022-12-21 12:53:14	off
1671623701	2022-12-21 12:55:01	on
1671623852	2022-12-21 12:57:32	off
1671623958	2022-12-21 12:59:18	on
1671624385	2022-12-21 13:06:25	off
1671624402	2022-12-21 13:06:42	on
1671625746	2022-12-21 13:29:06	off
1671625857	2022-12-21 13:30:57	on
1671626218	2022-12-21 13:36:58	off
1671626387	2022-12-21 13:39:47	on
1671626550	2022-12-21 13:42:30	off
1671626672	2022-12-21 13:44:32	on
1671626834	2022-12-21 13:47:14	off
1671627011	2022-12-21 13:50:11	on
1671627609	2022-12-21 14:00:09	off
1671627993	2022-12-21 14:06:33	on
1671628214	2022-12-21 14:10:14	off
1671628218	2022-12-21 14:10:18	on
1671628308	2022-12-21 14:11:48	off
1671628312	2022-12-21 14:11:52	on
1671628402	2022-12-21 14:13:22	off
1671628416	2022-12-21 14:13:36	on
1671628645	2022-12-21 14:17:25	off
1671628668	2022-12-21 14:17:48	on
1671628976	2022-12-21 14:22:56	off
1671629219	2022-12-21 14:26:59	on
1671629931	2022-12-21 14:38:51	off
1671631396	2022-12-21 15:03:16	on
1671631486	2022-12-21 15:04:46	off
1671632305	2022-12-21 15:18:25	on
1671632395	2022-12-21 15:19:55	off
1671633254	2022-12-21 15:34:14	on
1671633344	2022-12-21 15:35:44	off
1671633970	2022-12-21 15:46:10	on
1671634967	2022-12-21 16:02:47	on
1671634969	2022-12-21 16:02:49	off
1671635100	2022-12-21 16:05:00	on
1671635190	2022-12-21 16:06:30	off
1671636155	2022-12-21 16:22:35	on
1671636245	2022-12-21 16:24:05	off
1671636746	2022-12-21 16:32:26	on
1671636906	2022-12-21 16:35:06	off
1671638198	2022-12-21 16:56:38	on
1671639659	2022-12-21 17:20:59	off
1671639674	2022-12-21 17:21:14	on
1671639764	2022-12-21 17:22:44	off
1671639773	2022-12-21 17:22:53	on
1671639924	2022-12-21 17:25:24	off
1671643554	2022-12-21 18:25:54	on
1671643713	2022-12-21 18:28:33	off
1671643741	2022-12-21 18:29:01	on
1671643831	2022-12-21 18:30:31	off
1671643937	2022-12-21 18:32:17	on
1671644454	2022-12-21 18:40:54	off
1671645801	2022-12-21 19:03:21	on
1671645891	2022-12-21 19:04:51	off
1671648434	2022-12-21 19:47:14	on
1671648525	2022-12-21 19:48:45	off
1671650816	2022-12-21 20:26:56	on
1671650906	2022-12-21 20:28:26	off
1671651454	2022-12-21 20:37:34	on
1671651544	2022-12-21 20:39:04	off
1671653275	2022-12-21 21:07:55	on
1671654417	2022-12-21 21:26:57	off
1671655530	2022-12-21 21:45:30	on
1671655864	2022-12-21 21:51:04	off
1671658148	2022-12-21 22:29:08	on
1671658300	2022-12-21 22:31:40	off
1671658410	2022-12-21 22:33:30	on
1671658501	2022-12-21 22:35:01	off
